Protein.ensemblID	Protein.proID
ENSP00000365837	PR_Q9Y606
ENSP00000245544	PR_Q9BW27
ENSP00000233146	PR_P43246
ENSP00000252242	PR_P13647
ENSP00000340017	PR_Q14183
ENSP00000298569	PR_Q96A73
ENSP00000372834	PR_P18615
ENSP00000384796	PR_P56975
ENSP00000376181	PR_Q9NYG5
ENSP00000495027	PR_Q9Y6C9
ENSP00000291592	PR_Q9BY71
ENSP00000230173	PR_Q86SQ4
ENSP00000484240	PR_Q9Y3D7
ENSP00000296220	PR_Q9BXB4
ENSP00000229243	PR_Q8NEB7
ENSP00000330838	PR_Q96BV0
ENSP00000493338	PR_Q8NGI2
ENSP00000334952	PR_Q8IWK6
ENSP00000379899	PR_P40617
ENSP00000480272	PR_Q96KW9
ENSP00000293872	PR_Q9NQ29
ENSP00000420714	PR_O60783
ENSP00000483479	PR_Q96IM9
ENSP00000368759	PR_Q14511
ENSP00000263707	PR_Q9NZI6
ENSP00000358042	PR_Q9H0R6
ENSP00000395275	PR_P67870
ENSP00000301908	PR_Q13519
ENSP00000391902	PR_P00751
ENSP00000431331	PR_Q9NQ31
ENSP00000442172	PR_P14416
ENSP00000496695	PR_P54252
ENSP00000349017	PR_Q96J66
ENSP00000324375	PR_Q9Y6K1
ENSP00000335307	PR_Q8N104
ENSP00000394063	PR_A2RU67
ENSP00000344468	PR_O75056
ENSP00000407233	PR_P28065
ENSP00000358098	PR_Q8WWF1
ENSP00000418767	PR_Q5T2D2
ENSP00000319071	PR_Q8NGC7
ENSP00000402659	PR_O43196
ENSP00000320165	PR_Q9ULJ1
ENSP00000253099	PR_Q9BYD3
ENSP00000407724	PR_O75534
ENSP00000346280	PR_Q6P1R4
ENSP00000339371	PR_Q9NXR7
ENSP00000282050	PR_P25705
ENSP00000317334	PR_P17987
ENSP00000420617	PR_Q8IWA4
ENSP00000487315	PR_P52736
ENSP00000382228	PR_P15382
ENSP00000435370	PR_P35544
ENSP00000366299	PR_Q9BZJ4
ENSP00000361025	PR_Q8NE28
ENSP00000490610	PR_Q9HCK1
ENSP00000362938	PR_P18754
ENSP00000386747	PR_P43354
ENSP00000300835	PR_Q9BWN1
ENSP00000399075	PR_P0CW23
ENSP00000328729	PR_O60613
ENSP00000396942	PR_Q9BRC7
ENSP00000263774	PR_O75489
ENSP00000370115	PR_P30740
ENSP00000367476	PR_O60308
ENSP00000499406	PR_P08590
ENSP00000331849	PR_Q6P161
ENSP00000358708	PR_O60641
ENSP00000429176	PR_Q9BV47
ENSP00000493276	PR_Q8N813
ENSP00000365767	PR_P42898
ENSP00000450496	PR_P56279
ENSP00000482150	PR_Q5TA89
ENSP00000300181	PR_Q9Y3Q8
ENSP00000382628	PR_Q99708
ENSP00000325748	PR_O00506
ENSP00000264036	PR_P43121
ENSP00000411611	PR_Q9UBC1
ENSP00000377176	PR_Q9P0W8
ENSP00000346063	PR_Q6DKI1
ENSP00000322273	PR_Q9NRN5
ENSP00000222728	PR_P31267
ENSP00000412606	PR_Q8IZU0
ENSP00000252329	PR_Q9BT73
ENSP00000296530	PR_Q6UWH4
ENSP00000454770	PR_B4E2M5
ENSP00000383681	PR_P41597
ENSP00000421926	PR_Q96RL1
ENSP00000262580	PR_P57764
ENSP00000495203	PR_Q693B1
ENSP00000420127	PR_P51151
ENSP00000468025	PR_Q96IK0
ENSP00000306866	PR_O95166
ENSP00000354958	PR_P81408
ENSP00000337513	PR_Q9HD15
ENSP00000483008	PR_Q8NDB6
ENSP00000386766	PR_Q9ULF5
ENSP00000297185	PR_P38646
ENSP00000283928	PR_Q86VZ6
ENSP00000490898	PR_P28331
ENSP00000290558	PR_O60225
ENSP00000261267	PR_P61626
ENSP00000370737	PR_P23378
ENSP00000410159	PR_P50542
ENSP00000301738	PR_Q9NXV2
ENSP00000315299	PR_P27482
ENSP00000325775	PR_Q8NFK1
ENSP00000500050	PR_P82980
ENSP00000434679	PR_Q9NX95
ENSP00000221132	PR_O00220
ENSP00000338988	PR_Q96N28
ENSP00000307447	PR_Q9H205
ENSP00000441600	PR_P51677
ENSP00000493410	PR_Q8NH16
ENSP00000255189	PR_Q9UI17
ENSP00000340995	PR_Q8IYF3
ENSP00000493152	PR_A0A286YF01
ENSP00000376437	PR_Q11206
ENSP00000430706	PR_Q6IS14
ENSP00000445451	PR_Q7Z7L9
ENSP00000466000	PR_O95716
ENSP00000363257	PR_Q9NUE0
ENSP00000338348	PR_P60604
ENSP00000302229	PR_O14494
ENSP00000373370	PR_Q5D862
ENSP00000376374	PR_Q9P016
ENSP00000434343	PR_Q6IPT4
ENSP00000482338	PR_P46781
ENSP00000293502	PR_Q8NEX9
ENSP00000482358	PR_Q6UWY2
ENSP00000373108	PR_Q9P1U0
ENSP00000459895	PR_Q92667
ENSP00000491273	PR_P43628
ENSP00000379572	PR_Q9H3G5
ENSP00000495109	PR_P26367
ENSP00000379671	PR_Q9BSV6
ENSP00000346402	PR_P13489
ENSP00000449026	PR_P62945
ENSP00000415885	PR_Q96BT7
ENSP00000412890	PR_Q2TAL8
ENSP00000457989	PR_P61970
ENSP00000478340	PR_P29692
ENSP00000493074	PR_Q9H205
ENSP00000482334	PR_P24071
ENSP00000373331	PR_Q6P087
ENSP00000450048	PR_Q8WU20
ENSP00000238983	PR_P07098
ENSP00000358170	PR_Q9H8W3
ENSP00000416201	PR_A0A0B4J1Y9
ENSP00000390436	PR_P10070
ENSP00000367309	PR_P27338
ENSP00000402395	PR_Q12899
ENSP00000419004	PR_Q96D46
ENSP00000400500	PR_Q7Z6K1
ENSP00000245812	PR_Q9BT30
ENSP00000303028	PR_Q53R12
ENSP00000478945	PR_Q8NH74
ENSP00000369081	PR_Q8NBS9
ENSP00000359783	PR_Q8TCB0
ENSP00000496418	PR_P07315
ENSP00000497534	PR_P19525
ENSP00000374817	PR_A0A075B6H9
ENSP00000492944	PR_Q8WZ94
ENSP00000342385	PR_O14684
ENSP00000462158	PR_P40189
ENSP00000376103	PR_Q9NSK7
ENSP00000309430	PR_Q96S52
ENSP00000217423	PR_P01036
ENSP00000495756	PR_P34896
ENSP00000341610	PR_Q9C002
ENSP00000328875	PR_O60296
ENSP00000364498	PR_O77932
ENSP00000355053	PR_P17040
ENSP00000389490	PR_P01375
ENSP00000488556	PR_Q16553
ENSP00000457570	PR_Q8TBB5
ENSP00000493834	PR_O95452
ENSP00000473623	PR_Q969T4
ENSP00000384517	PR_O00327
ENSP00000480294	PR_Q86VY9
ENSP00000467176	PR_P13805
ENSP00000471493	PR_P21462
ENSP00000338814	PR_Q9UL15
ENSP00000310670	PR_Q8N163
ENSP00000360644	PR_O60762
ENSP00000492372	PR_P27824
ENSP00000344577	PR_O95236
ENSP00000413875	PR_Q86XT4
ENSP00000393958	PR_O60231
ENSP00000490504	PR_A0A1B0GVG4
ENSP00000302216	PR_Q92858
ENSP00000434511	PR_Q8IZQ5
ENSP00000493390	PR_Q8WZ94
ENSP00000434593	PR_Q6P1X6
ENSP00000252085	PR_O60330
ENSP00000312367	PR_Q9UIB8
ENSP00000330060	PR_Q9H9A5
ENSP00000390020	PR_P13765
ENSP00000386229	PR_O43566
ENSP00000316681	PR_Q9C0D2
ENSP00000318604	PR_Q9H063
ENSP00000373657	PR_Q53F19
ENSP00000429499	PR_Q9NUQ9
ENSP00000389870	PR_O60479
ENSP00000337510	PR_Q9UH90
ENSP00000282728	PR_Q03014
ENSP00000305875	PR_Q8IYI0
ENSP00000260952	PR_Q9NWL6
ENSP00000350592	PR_P43365
ENSP00000318406	PR_Q8IZA0
ENSP00000309790	PR_Q6P0N0
ENSP00000316476	PR_O15121
ENSP00000259748	PR_O43559
ENSP00000435380	PR_O00631
ENSP00000217740	PR_Q96EQ8
ENSP00000296425	PR_O15173
ENSP00000431512	PR_Q00613
ENSP00000419425	PR_P62937
ENSP00000500669	PR_P63241
ENSP00000477959	PR_Q8TBJ4
ENSP00000433490	PR_P10092
ENSP00000478358	PR_Q8NHC8
ENSP00000338276	PR_P54107
ENSP00000439937	PR_Q9NSC5
ENSP00000337587	PR_Q9BX51
ENSP00000294244	PR_Q9BUA3
ENSP00000496241	PR_O00400
ENSP00000307634	PR_Q9UPQ3
ENSP00000294189	PR_P47914
ENSP00000451106	PR_O15037
ENSP00000481908	PR_P08238
ENSP00000484680	PR_Q9HCN4
ENSP00000482744	PR_Q02338
ENSP00000411691	PR_O95872
ENSP00000429707	PR_P09669
ENSP00000340609	PR_Q68J44
ENSP00000406286	PR_O15156
ENSP00000251900	PR_Q9UQR0
ENSP00000362060	PR_O43920
ENSP00000235932	PR_O14966
ENSP00000429734	PR_A6NJU9
ENSP00000433661	PR_Q9BZJ8
ENSP00000380635	PR_Q0P5N6
ENSP00000305877	PR_Q9HB89
ENSP00000485518	PR_Q8NH74
ENSP00000367952	PR_Q8WVF2
ENSP00000394879	PR_P18615
ENSP00000490581	PR_Q5VWM4
ENSP00000317721	PR_Q9P0Z9
ENSP00000387292	PR_Q86TG1
ENSP00000262738	PR_Q9NYQ6
ENSP00000450688	PR_P31749
ENSP00000478348	PR_Q96T88
ENSP00000313921	PR_Q9UJ68
ENSP00000412302	PR_O95983
ENSP00000422354	PR_Q8NEC7
ENSP00000370303	PR_Q8IVQ6
ENSP00000310696	PR_O60909
ENSP00000495070	PR_Q9HCK8
ENSP00000265069	PR_Q96KR1
ENSP00000384770	PR_Q00888
ENSP00000263339	PR_P01583
ENSP00000287814	PR_Q99727
ENSP00000428518	PR_O00451
ENSP00000361544	PR_Q9H1M0
ENSP00000168216	PR_Q99714
ENSP00000363322	PR_Q8NHZ8
ENSP00000317743	PR_Q96MB7
ENSP00000319744	PR_P46093
ENSP00000300961	PR_Q96MG2
ENSP00000496561	PR_Q8NG35
ENSP00000350687	PR_O75072
ENSP00000407509	PR_Q8IY17
ENSP00000372607	PR_P79483
ENSP00000315013	PR_P43155
ENSP00000418108	PR_Q9NR56
ENSP00000483430	PR_P40305
ENSP00000420813	PR_P22061
ENSP00000317564	PR_Q96D98
ENSP00000424662	PR_Q96MM3
ENSP00000307640	PR_A6NLP5
ENSP00000404056	PR_Q9UHF0
ENSP00000352447	PR_Q9BW04
ENSP00000296695	PR_P00995
ENSP00000490448	PR_O43602
ENSP00000265016	PR_Q10588
ENSP00000264039	PR_P35052
ENSP00000304923	PR_Q86X40
ENSP00000499665	PR_O60733
ENSP00000339562	PR_Q13398
ENSP00000361120	PR_Q12967
ENSP00000498735	PR_P02511
ENSP00000416583	PR_Q9Y315
ENSP00000300452	PR_Q9Y3A0
ENSP00000412479	PR_Q8TAP4
ENSP00000410198	PR_Q7Z7L9
ENSP00000464977	PR_P10644
ENSP00000469089	PR_Q96K62
ENSP00000262623	PR_P20648
ENSP00000347717	PR_Q9UBM7
ENSP00000292779	PR_Q8IYX3
ENSP00000479656	PR_Q8IUC3
ENSP00000304908	PR_Q86VQ3
ENSP00000366376	PR_Q9GZK6
ENSP00000410663	PR_O14569
ENSP00000257408	PR_Q86Z14
ENSP00000314099	PR_Q9Y2D0
ENSP00000448387	PR_Q92994
ENSP00000399136	PR_P48065
ENSP00000322784	PR_Q8NH90
ENSP00000498610	PR_Q99808
ENSP00000429798	PR_P00915
ENSP00000294964	PR_Q504Y2
ENSP00000361626	PR_P67809
ENSP00000383155	PR_Q8WWX9
ENSP00000309457	PR_P49754
ENSP00000263851	PR_P13232
ENSP00000487957	PR_A0A075B6H7
ENSP00000363396	PR_Q9BRI3
ENSP00000346955	PR_Q70HW3
ENSP00000387040	PR_Q8TDW7
ENSP00000443510	PR_Q9NRZ7
ENSP00000353699	PR_Q3MJ13
ENSP00000368119	PR_P07902
ENSP00000321196	PR_Q8NH76
ENSP00000445979	PR_O75123
ENSP00000220058	PR_Q96DP5
ENSP00000385739	PR_Q3KPI0
ENSP00000402965	PR_Q16612
ENSP00000311290	PR_O75360
ENSP00000300101	PR_O15060
ENSP00000365266	PR_Q5VTA0
ENSP00000341412	PR_Q6UQ28
ENSP00000452598	PR_O43542
ENSP00000310688	PR_Q9UBJ2
ENSP00000481351	PR_Q8TEE9
ENSP00000311713	PR_O95747
ENSP00000331748	PR_Q6IQ22
ENSP00000360252	PR_Q9UJC3
ENSP00000278483	PR_Q53FT3
ENSP00000394940	PR_Q96PB8
ENSP00000445549	PR_P51523
ENSP00000296545	PR_P40933
ENSP00000357625	PR_Q12983
ENSP00000414939	PR_Q9Y4H4
ENSP00000498400	PR_Q05655
ENSP00000343129	PR_Q14134
ENSP00000449275	PR_P13942
ENSP00000289749	PR_P41271
ENSP00000313159	PR_Q9NWN3
ENSP00000322628	PR_P49703
ENSP00000259915	PR_Q01860
ENSP00000298630	PR_Q86UX6
ENSP00000287916	PR_P56749
ENSP00000282841	PR_O95749
ENSP00000305422	PR_P17676
ENSP00000232003	PR_P04196
ENSP00000366488	PR_P22612
ENSP00000435087	PR_Q9H5J8
ENSP00000497308	PR_Q9HCK1
ENSP00000492514	PR_Q9NVU0
ENSP00000257181	PR_Q8NAV1
ENSP00000328336	PR_Q8N111
ENSP00000247087	PR_Q5TGY3
ENSP00000387059	PR_Q9UK76
ENSP00000295959	PR_O95059
ENSP00000446115	PR_Q8TAP4
ENSP00000284509	PR_Q8TF62
ENSP00000384539	PR_Q96SB8
ENSP00000013070	PR_Q8N806
ENSP00000468686	PR_Q9UK10
ENSP00000269141	PR_P19022
ENSP00000371420	PR_Q14956
ENSP00000256447	PR_Q99467
ENSP00000416338	PR_O95140
ENSP00000332592	PR_Q8N0X2
ENSP00000348381	PR_Q9UEY8
ENSP00000480171	PR_Q9UBB9
ENSP00000370460	PR_Q6UX04
ENSP00000483364	PR_Q6NUS6
ENSP00000493316	PR_Q8NGG4
ENSP00000351908	PR_Q99683
ENSP00000476519	PR_Q92952
ENSP00000385140	PR_Q9HC97
ENSP00000492394	PR_Q14953
ENSP00000302189	PR_Q02575
ENSP00000319788	PR_P15559
ENSP00000013222	PR_O95050
ENSP00000356905	PR_O95497
ENSP00000399888	PR_P17096
ENSP00000492263	PR_Q9NVU0
ENSP00000294288	PR_Q9NPB3
ENSP00000262158	PR_O15105
ENSP00000496491	PR_O15041
ENSP00000430684	PR_O14920
ENSP00000301180	PR_Q9P265
ENSP00000377025	PR_Q9UMS5
ENSP00000455711	PR_Q9BWW7
ENSP00000354097	PR_Q9NZL6
ENSP00000417711	PR_Q6ZU69
ENSP00000428187	PR_Q15025
ENSP00000267615	PR_Q13572
ENSP00000457473	PR_P23975
ENSP00000347672	PR_Q8TAA9
ENSP00000252660	PR_P04201
ENSP00000332223	PR_Q6UXH1
ENSP00000361290	PR_Q14031
ENSP00000339087	PR_Q6ZUS5
ENSP00000355304	PR_Q9UQ07
ENSP00000351346	PR_Q7Z7G8
ENSP00000334993	PR_Q9BQ50
ENSP00000393566	PR_P20036
ENSP00000264012	PR_P22223
ENSP00000311469	PR_P09488
ENSP00000483673	PR_H0YM25
ENSP00000342276	PR_Q96RF0
ENSP00000469113	PR_Q14653
ENSP00000362466	PR_Q13103
ENSP00000457963	PR_Q99613
ENSP00000270257	PR_Q9H840
ENSP00000327968	PR_Q3KNW1
ENSP00000376315	PR_P50238
ENSP00000403644	PR_P20711
ENSP00000317902	PR_Q86XR8
ENSP00000416787	PR_Q8NCW6
ENSP00000262109	PR_Q86X53
ENSP00000333821	PR_Q01718
ENSP00000479634	PR_Q7L985
ENSP00000495668	PR_Q86U38
ENSP00000458374	PR_Q658N2
ENSP00000453785	PR_Q13596
ENSP00000368989	PR_Q9NZP0
ENSP00000278200	PR_Q96LU5
ENSP00000257749	PR_Q9BYV9
ENSP00000296484	PR_Q8NBT0
ENSP00000478657	PR_P43628
ENSP00000343818	PR_Q96SN8
ENSP00000499795	PR_O14603
ENSP00000406707	PR_Q12899
ENSP00000424665	PR_Q16589
ENSP00000342952	PR_Q08462
ENSP00000362525	PR_Q9HAW7
ENSP00000342254	PR_A6NNL5
ENSP00000401310	PR_Q96QU4
ENSP00000014914	PR_Q8NFJ5
ENSP00000440099	PR_Q8TAP4
ENSP00000497065	PR_Q02241
ENSP00000343463	PR_Q9Y2U5
ENSP00000377461	PR_Q9BR84
ENSP00000307288	PR_P33993
ENSP00000370420	PR_Q9H321
ENSP00000260056	PR_Q15771
ENSP00000484021	PR_P59768
ENSP00000323148	PR_P17029
ENSP00000263710	PR_Q7Z460
ENSP00000398893	PR_Q99944
ENSP00000216129	PR_Q14166
ENSP00000444621	PR_Q8TDX7
ENSP00000299308	PR_Q14DG7
ENSP00000373325	PR_Q8NFR9
ENSP00000383339	PR_Q08345
ENSP00000366875	PR_Q5TZJ5
ENSP00000381758	PR_Q9UMQ6
ENSP00000428543	PR_Q06455
ENSP00000498877	PR_C9JRZ8
ENSP00000484113	PR_P35232
ENSP00000320232	PR_Q8NDH2
ENSP00000341037	PR_Q8TBZ3
ENSP00000465660	PR_K7EJ46
ENSP00000409489	PR_Q99519
ENSP00000298085	PR_Q8WY07
ENSP00000496058	PR_P59665
ENSP00000361929	PR_Q5T4B2
ENSP00000299709	PR_A6NNN8
ENSP00000238256	PR_Q5T1M5
ENSP00000455068	PR_Q9UJH8
ENSP00000426070	PR_Q9HCX4
ENSP00000478521	PR_Q9BV86
ENSP00000480987	PR_P25205
ENSP00000373152	PR_Q5JQF7
ENSP00000487690	PR_A0A075B6P5
ENSP00000371572	PR_B2RNN3
ENSP00000342136	PR_O43889
ENSP00000444437	PR_P46087
ENSP00000273308	PR_Q9Y2B0
ENSP00000345344	PR_P07711
ENSP00000403084	PR_Q9UL12
ENSP00000290374	PR_Q9UKL4
ENSP00000338642	PR_Q96AQ7
ENSP00000379047	PR_Q96ER9
ENSP00000361298	PR_Q99661
ENSP00000494048	PR_Q9BUE0
ENSP00000316729	PR_Q9H4E5
ENSP00000253928	PR_Q4VC44
ENSP00000447303	PR_Q9H4P4
ENSP00000457616	PR_Q96IC2
ENSP00000479964	PR_Q9BWU0
ENSP00000398761	PR_Q765I0
ENSP00000363944	PR_Q9Y4W2
ENSP00000383894	PR_O15232
ENSP00000493036	PR_Q8NGN3
ENSP00000357759	PR_Q5T753
ENSP00000218056	PR_Q9H1Z4
ENSP00000241891	PR_Q9UHM6
ENSP00000344937	PR_Q6ZPD9
ENSP00000355435	PR_Q8NH16
ENSP00000454062	PR_P54845
ENSP00000485547	PR_P0CB33
ENSP00000401323	PR_Q9Y5P3
ENSP00000397673	PR_Q96BT7
ENSP00000380628	PR_O00533
ENSP00000369318	PR_O94955
ENSP00000258098	PR_Q9BXF6
ENSP00000322593	PR_Q8NGK0
ENSP00000457380	PR_Q6PRD7
ENSP00000306999	PR_Q56NI9
ENSP00000362711	PR_P40222
ENSP00000302836	PR_P31274
ENSP00000309392	PR_P54257
ENSP00000395849	PR_Q6ZWH5
ENSP00000368887	PR_Q9NWT1
ENSP00000360214	PR_Q96PE5
ENSP00000436656	PR_Q03721
ENSP00000378301	PR_P22736
ENSP00000399457	PR_P39656
ENSP00000268712	PR_O75376
ENSP00000496494	PR_P07951
ENSP00000354676	PR_Q9NRP0
ENSP00000355997	PR_Q13751
ENSP00000368455	PR_P50583
ENSP00000400646	PR_Q8TCS8
ENSP00000404416	PR_Q96IZ2
ENSP00000361569	PR_Q5T953
ENSP00000347338	PR_Q96SK3
ENSP00000416269	PR_Q13838
ENSP00000467446	PR_Q9UK13
ENSP00000221538	PR_Q9H0K4
ENSP00000360290	PR_P54646
ENSP00000379995	PR_Q9UI12
ENSP00000328596	PR_O95475
ENSP00000333948	PR_Q86WX3
ENSP00000488109	PR_P05408
ENSP00000496699	PR_Q96JM3
ENSP00000432867	PR_O75531
ENSP00000403214	PR_Q8WUJ0
ENSP00000412319	PR_O15212
ENSP00000005284	PR_O60359
ENSP00000286494	PR_Q86VW2
ENSP00000257694	PR_Q9NP80
ENSP00000466055	PR_Q9BWQ6
ENSP00000490135	PR_A6NMA1
ENSP00000479385	PR_P48595
ENSP00000436293	PR_Q96B21
ENSP00000355988	PR_O14896
ENSP00000499275	PR_P84243
ENSP00000265965	PR_Q9UGK8
ENSP00000355961	PR_Q9NVH2
ENSP00000379457	PR_Q9UNN5
ENSP00000349575	PR_Q96BX8
ENSP00000478258	PR_Q9Y5G0
ENSP00000357470	PR_P08887
ENSP00000289547	PR_Q9UHC9
ENSP00000478684	PR_Q8IZS6
ENSP00000363807	PR_Q92504
ENSP00000339730	PR_P35443
ENSP00000380793	PR_Q92685
ENSP00000469581	PR_Q9BQ48
ENSP00000497051	PR_P63096
ENSP00000423822	PR_Q8TED1
ENSP00000231130	PR_Q9Y5E6
ENSP00000355631	PR_P32242
ENSP00000493637	PR_P51684
ENSP00000487664	PR_Q16553
ENSP00000497363	PR_Q9UM63
ENSP00000489252	PR_O43390
ENSP00000483881	PR_Q9H2P0
ENSP00000329553	PR_Q96T52
ENSP00000282466	PR_Q6WRI0
ENSP00000408670	PR_O95670
ENSP00000327525	PR_Q8NGB9
ENSP00000394259	PR_Q9BUP3
ENSP00000451583	PR_Q99766
ENSP00000258886	PR_P48200
ENSP00000478577	PR_Q13085
ENSP00000355870	PR_Q14774
ENSP00000380256	PR_P41002
ENSP00000297338	PR_O60216
ENSP00000362994	PR_Q13077
ENSP00000419279	PR_A0AVF1
ENSP00000299518	PR_P50213
ENSP00000358810	PR_Q5VSL9
ENSP00000392767	PR_Q99584
ENSP00000233055	PR_Q8IWB7
ENSP00000229281	PR_Q99622
ENSP00000278302	PR_Q9C030
ENSP00000354357	PR_P21266
ENSP00000365390	PR_Q6W3E5
ENSP00000459843	PR_Q8ND56
ENSP00000452885	PR_Q8NBR6
ENSP00000323264	PR_Q8N4S9
ENSP00000345672	PR_P07858
ENSP00000352185	PR_O75151
ENSP00000382728	PR_Q99943
ENSP00000362111	PR_O43657
ENSP00000358151	PR_Q16778
ENSP00000246646	PR_O76015
ENSP00000362027	PR_Q96GJ1
ENSP00000359410	PR_Q8IUS5
ENSP00000364361	PR_Q9NYL2
ENSP00000261813	PR_O60925
ENSP00000384000	PR_Q96N22
ENSP00000360360	PR_P0C2W7
ENSP00000369725	PR_Q9UKL2
ENSP00000398769	PR_Q5SQH8
ENSP00000334834	PR_Q3LI77
ENSP00000493065	PR_Q8NGI9
ENSP00000490149	PR_Q03154
ENSP00000456427	PR_P61236
ENSP00000259983	PR_Q5T4I8
ENSP00000323439	PR_Q96SB8
ENSP00000011653	PR_P01730
ENSP00000487206	PR_Q16637
ENSP00000255759	PR_Q96NB1
ENSP00000473599	PR_Q8N0X7
ENSP00000479955	PR_P55774
ENSP00000429697	PR_Q9H4B0
ENSP00000318057	PR_Q06889
ENSP00000253047	PR_Q9NX00
ENSP00000397354	PR_Q92782
ENSP00000488933	PR_Q15813
ENSP00000311605	PR_Q8NGF8
ENSP00000415436	PR_Q9H9L4
ENSP00000322582	PR_Q53FE4
ENSP00000379434	PR_Q9NXS3
ENSP00000272444	PR_O75319
ENSP00000386898	PR_Q8WV99
ENSP00000264790	PR_Q13201
ENSP00000356389	PR_Q9NU53
ENSP00000377840	PR_Q02641
ENSP00000401371	PR_P31483
ENSP00000357461	PR_P17787
ENSP00000446485	PR_Q8WW33
ENSP00000340519	PR_Q96QE4
ENSP00000453363	PR_A8K0R7
ENSP00000445408	PR_Q15276
ENSP00000497722	PR_Q9UL68
ENSP00000360060	PR_Q92837
ENSP00000260731	PR_P52732
ENSP00000351122	PR_Q9Y2K6
ENSP00000492981	PR_Q8NG83
ENSP00000364782	PR_Q99519
ENSP00000349439	PR_Q6PKC3
ENSP00000321334	PR_P08519
ENSP00000261944	PR_Q9BYE9
ENSP00000262585	PR_A2RUS2
ENSP00000322020	PR_Q9H936
ENSP00000482564	PR_P0C5Z0
ENSP00000479396	PR_A8MV24
ENSP00000410925	PR_O15529
ENSP00000344411	PR_Q7RTX0
ENSP00000368637	PR_Q9UGH3
ENSP00000305138	PR_Q9BUT9
ENSP00000412365	PR_Q92772
ENSP00000354883	PR_Q96S82
ENSP00000419119	PR_Q96KK4
ENSP00000231484	PR_Q9NPG4
ENSP00000355058	PR_P56278
ENSP00000325589	PR_Q14761
ENSP00000483114	PR_Q99732
ENSP00000484088	PR_Q9H9V9
ENSP00000352420	PR_O15165
ENSP00000394331	PR_Q9GZQ3
ENSP00000495722	PR_Q12929
ENSP00000368152	PR_Q3KRA9
ENSP00000271153	PR_P13584
ENSP00000405699	PR_Q96EG3
ENSP00000385651	PR_Q05084
ENSP00000379566	PR_Q8TD31
ENSP00000433560	PR_P02511
ENSP00000469315	PR_Q9H2R5
ENSP00000317376	PR_P82912
ENSP00000480471	PR_Q6P1K8
ENSP00000424388	PR_Q9H2E6
ENSP00000375709	PR_Q96B36
ENSP00000334490	PR_Q9ULC8
ENSP00000223398	PR_Q9UDT6
ENSP00000492850	PR_Q8NHK3
ENSP00000386965	PR_P40121
ENSP00000361800	PR_Q96EX3
ENSP00000420020	PR_P01594
ENSP00000330512	PR_Q9Y232
ENSP00000486485	PR_P78395
ENSP00000342680	PR_Q86X51
ENSP00000296518	PR_Q02108
ENSP00000248437	PR_P68366
ENSP00000252483	PR_Q92692
ENSP00000361355	PR_Q8TBM7
ENSP00000454014	PR_B4DS77
ENSP00000291358	PR_Q4KMZ1
ENSP00000492260	PR_O43766
ENSP00000323588	PR_P48431
ENSP00000337461	PR_Q5TH74
ENSP00000422881	PR_Q0VDI3
ENSP00000269468	PR_Q9UIS9
ENSP00000311687	PR_Q0D2K0
ENSP00000264663	PR_Q13423
ENSP00000455457	PR_Q9NRP2
ENSP00000258200	PR_Q96CD0
ENSP00000325954	PR_Q6ZTQ4
ENSP00000380320	PR_P62952
ENSP00000383219	PR_P60371
ENSP00000382425	PR_P78352
ENSP00000479542	PR_Q2M2Z5
ENSP00000373107	PR_O60927
ENSP00000414461	PR_A4D1T9
ENSP00000366453	PR_Q9UDY2
ENSP00000469345	PR_Q9H6B9
ENSP00000448165	PR_O14727
ENSP00000287913	PR_Q6SA08
ENSP00000488033	PR_Q7Z7B1
ENSP00000355264	PR_Q96PZ2
ENSP00000478990	PR_Q9HBL8
ENSP00000237527	PR_P01286
ENSP00000297504	PR_Q9NUT2
ENSP00000478786	PR_P62805
ENSP00000450168	PR_P61020
ENSP00000385236	PR_P40617
ENSP00000328133	PR_Q6UXL0
ENSP00000367615	PR_P07741
ENSP00000363773	PR_P02745
ENSP00000357086	PR_Q6DN72
ENSP00000439189	PR_Q6S8J3
ENSP00000328228	PR_Q69YH5
ENSP00000361669	PR_Q8N693
ENSP00000320757	PR_A6NC51
ENSP00000447450	PR_Q9H1C3
ENSP00000328472	PR_Q9H228
ENSP00000187397	PR_Q9UBL0
ENSP00000268719	PR_Q8IVV7
ENSP00000349882	PR_Q8NDW4
ENSP00000461202	PR_A8MX34
ENSP00000301939	PR_Q8N2U0
ENSP00000357842	PR_Q9NNX1
ENSP00000285208	PR_Q9NRW1
ENSP00000347234	PR_Q8N9K5
ENSP00000307199	PR_Q9NZD4
ENSP00000486330	PR_P78395
ENSP00000422223	PR_Q16143
ENSP00000434602	PR_Q5SZD1
ENSP00000345494	PR_O15162
ENSP00000481456	PR_O14683
ENSP00000247956	PR_Q96PQ6
ENSP00000410449	PR_Q9BVM4
ENSP00000415517	PR_Q5SRN2
ENSP00000357973	PR_Q8WV93
ENSP00000262348	PR_Q5T9L3
ENSP00000330596	PR_Q7L3V2
ENSP00000492868	PR_P27824
ENSP00000405030	PR_P35410
ENSP00000440217	PR_Q9BZD7
ENSP00000467959	PR_Q6YFQ2
ENSP00000395665	PR_O95870
ENSP00000219343	PR_Q92536
ENSP00000349143	PR_Q8WVV5
ENSP00000380155	PR_Q8TCB6
ENSP00000243938	PR_Q8IUB2
ENSP00000350331	PR_Q8WXK3
ENSP00000223368	PR_Q9BQE9
ENSP00000250971	PR_P01308
